instancia                          items       OPT      H_BL     H_PSO    HoptBL   HoptPSO       ms
2000HopperC7-P1.csv                  196    240.00    290.00    276.00    1.2083    1.1500      267
2000HopperC7-P2.csv                  197    240.00    286.00    281.00    1.1917    1.1708      268
2000HopperC7-P3.csv                  196    240.00    275.00    270.00    1.1458    1.1250      293
2000HopperN1a.csv                     17    200.00    259.00    222.00    1.2950    1.1100       12
2000HopperN1b.csv                     17    200.00    339.00    228.00    1.6950    1.1400       11
2000HopperN1c.csv                     17    200.00    261.00    227.00    1.3050    1.1350       10
2000HopperN1d.csv                     17    200.00    277.00    222.00    1.3850    1.1100       11
2000HopperN1e.csv                     17    200.00    252.00    221.00    1.2600    1.1050       11
2000HopperN2a.csv                     25    200.00    270.00    230.00    1.3500    1.1500       20
2000HopperN2b.csv                     25    200.00    290.00    232.00    1.4500    1.1600       18
2000HopperN2c.csv                     25    200.00    277.00    232.00    1.3850    1.1600       19
2000HopperN2d.csv                     25    200.00    264.00    226.00    1.3200    1.1300       17
2000HopperN2e.csv                     25    200.00    241.00    228.00    1.2050    1.1400       18
2000HopperN3a.csv                     29    200.00    266.00    234.00    1.3300    1.1700       23
2000HopperN3b.csv                     29    200.00    243.00    236.00    1.2150    1.1800       23
2000HopperN3c.csv                     29    200.00    259.00    223.00    1.2950    1.1150       23
2000HopperN3d.csv                     29    200.00    258.00    233.00    1.2900    1.1650       23
2000HopperN3e.csv                     29    200.00    256.00    223.00    1.2800    1.1150       23
2000HopperN4a.csv                     49    200.00    232.00    228.00    1.1600    1.1400       50
2000HopperN4b.csv                     49    200.00    261.00    236.00    1.3050    1.1800       47
2000HopperN4c.csv                     49    200.00    250.00    226.00    1.2500    1.1300       52
2000HopperN4d.csv                     49    200.00    273.00    232.00    1.3650    1.1600       48
2000HopperN4e.csv                     49    200.00    275.00    228.00    1.3750    1.1400       50
2000HopperN5a.csv                     73    200.00    233.00    228.00    1.1650    1.1400       89
2000HopperN5b.csv                     73    200.00    244.00    226.00    1.2200    1.1300       83
2000HopperN5c.csv                     73    200.00    233.00    233.00    1.1650    1.1650       89
2000HopperN5d.csv                     73    200.00    245.00    232.00    1.2250    1.1600       86
