instancia,items,ancho,opt_conocido,OPT_ref,H_BL,H_PSO,Hopt_BL,Hopt_PSO,ms
1999Hifi9.csv,30,175.0000,false,26.8343,31.0000,31.0000,1.155239,1.155239,35
2000HopperC1-P1.csv,16,20.0000,true,20.0000,27.0000,21.0000,1.350000,1.050000,10
2000HopperC1-P2.csv,17,20.0000,true,20.0000,23.0000,22.0000,1.150000,1.100000,10
2000HopperC1-P3.csv,16,20.0000,true,20.0000,28.0000,21.0000,1.400000,1.050000,9
2000HopperC2-P1.csv,25,40.0000,true,15.0000,19.0000,16.0000,1.266667,1.066667,17
2000HopperC2-P2.csv,25,40.0000,true,15.0000,19.0000,16.0000,1.266667,1.066667,17
2000HopperC2-P3.csv,25,40.0000,true,15.0000,17.0000,16.0000,1.133333,1.066667,16
2000HopperC3-P1.csv,28,60.0000,true,30.0000,36.0000,32.0000,1.200000,1.066667,20
2000HopperC3-P2.csv,29,60.0000,true,30.0000,36.0000,33.0000,1.200000,1.100000,23
2000HopperC3-P3.csv,28,60.0000,true,30.0000,42.0000,34.0000,1.400000,1.133333,21
2000HopperC4-P1.csv,49,60.0000,true,60.0000,78.0000,68.0000,1.300000,1.133333,45
2000HopperC4-P2.csv,49,60.0000,true,60.0000,76.0000,69.0000,1.266667,1.150000,44
2000HopperC4-P3.csv,49,60.0000,true,60.0000,77.0000,67.0000,1.283333,1.116667,45
2000HopperC5-P1.csv,73,60.0000,true,90.0000,106.0000,100.0000,1.177778,1.111111,64
2000HopperC5-P2.csv,73,60.0000,true,90.0000,111.0000,102.0000,1.233333,1.133333,67
2000HopperC5-P3.csv,73,60.0000,true,90.0000,111.0000,100.0000,1.233333,1.111111,63
2000HopperC6-P1.csv,97,80.0000,true,128.0000,140.0000,137.0000,1.093750,1.070313,94
2000HopperC6-P2.csv,97,80.0000,true,120.0000,157.0000,140.0000,1.308333,1.166667,100
2000HopperC6-P3.csv,97,80.0000,true,120.0000,141.0000,137.0000,1.175000,1.141667,98
2000HopperC7-P1.csv,196,160.0000,true,240.0000,290.0000,276.0000,1.208333,1.150000,267
2000HopperC7-P2.csv,197,160.0000,true,240.0000,286.0000,281.0000,1.191667,1.170833,268
2000HopperC7-P3.csv,196,160.0000,true,240.0000,275.0000,270.0000,1.145833,1.125000,293
2000HopperN1a.csv,17,200.0000,true,200.0000,259.0000,222.0000,1.295000,1.110000,12
2000HopperN1b.csv,17,200.0000,true,200.0000,339.0000,228.0000,1.695000,1.140000,11
2000HopperN1c.csv,17,200.0000,true,200.0000,261.0000,227.0000,1.305000,1.135000,10
2000HopperN1d.csv,17,200.0000,true,200.0000,277.0000,222.0000,1.385000,1.110000,11
2000HopperN1e.csv,17,200.0000,true,200.0000,252.0000,221.0000,1.260000,1.105000,11
2000HopperN2a.csv,25,200.0000,true,200.0000,270.0000,230.0000,1.350000,1.150000,20
2000HopperN2b.csv,25,200.0000,true,200.0000,290.0000,232.0000,1.450000,1.160000,18
2000HopperN2c.csv,25,200.0000,true,200.0000,277.0000,232.0000,1.385000,1.160000,19
2000HopperN2d.csv,25,200.0000,true,200.0000,264.0000,226.0000,1.320000,1.130000,17
2000HopperN2e.csv,25,200.0000,true,200.0000,241.0000,228.0000,1.205000,1.140000,18
2000HopperN3a.csv,29,200.0000,true,200.0000,266.0000,234.0000,1.330000,1.170000,23
2000HopperN3b.csv,29,200.0000,true,200.0000,243.0000,236.0000,1.215000,1.180000,23
2000HopperN3c.csv,29,200.0000,true,200.0000,259.0000,223.0000,1.295000,1.115000,23
2000HopperN3d.csv,29,200.0000,true,200.0000,258.0000,233.0000,1.290000,1.165000,23
2000HopperN3e.csv,29,200.0000,true,200.0000,256.0000,223.0000,1.280000,1.115000,23
2000HopperN4a.csv,49,200.0000,true,200.0000,232.0000,228.0000,1.160000,1.140000,50
2000HopperN4b.csv,49,200.0000,true,200.0000,261.0000,236.0000,1.305000,1.180000,47
2000HopperN4c.csv,49,200.0000,true,200.0000,250.0000,226.0000,1.250000,1.130000,52
2000HopperN4d.csv,49,200.0000,true,200.0000,273.0000,232.0000,1.365000,1.160000,48
2000HopperN4e.csv,49,200.0000,true,200.0000,275.0000,228.0000,1.375000,1.140000,50
2000HopperN5a.csv,73,200.0000,true,200.0000,233.0000,228.0000,1.165000,1.140000,89
2000HopperN5b.csv,73,200.0000,true,200.0000,244.0000,226.0000,1.220000,1.130000,83
2000HopperN5c.csv,73,200.0000,true,200.0000,233.0000,233.0000,1.165000,1.165000,89
2000HopperN5d.csv,73,200.0000,true,200.0000,245.0000,232.0000,1.225000,1.160000,86
2000HopperN5e.csv,73,200.0000,true,200.0000,267.0000,233.0000,1.335000,1.165000,92
2000HopperN6a.csv,97,200.0000,true,200.0000,252.0000,227.0000,1.260000,1.135000,120
2000HopperN6b.csv,97,200.0000,true,200.0000,241.0000,233.0000,1.205000,1.165000,121
2000HopperN6c.csv,97,200.0000,true,200.0000,246.0000,233.0000,1.230000,1.165000,123
2000HopperN6d.csv,97,200.0000,true,200.0000,236.0000,229.0000,1.180000,1.145000,128
2000HopperN6e.csv,97,200.0000,true,200.0000,242.0000,235.0000,1.210000,1.175000,132
2000HopperN7a.csv,197,200.0000,true,200.0000,244.0000,227.0000,1.220000,1.135000,327
2000HopperN7b.csv,197,200.0000,true,200.0000,226.0000,225.0000,1.130000,1.125000,337
2000HopperN7c.csv,197,200.0000,true,200.0000,235.0000,230.0000,1.175000,1.150000,332
2000HopperN7d.csv,197,200.0000,true,200.0000,240.0000,230.0000,1.200000,1.150000,389
2000HopperN7e.csv,197,200.0000,true,200.0000,231.0000,229.0000,1.155000,1.145000,356
2000HopperT1a.csv,17,200.0000,true,200.0000,256.0000,230.0000,1.280000,1.150000,12
2000HopperT1b.csv,17,200.0000,true,200.0000,277.0000,222.0000,1.385000,1.110000,12
2000HopperT1c.csv,17,200.0000,true,200.0000,223.0000,210.0000,1.115000,1.050000,11
